sample	group
Mock_1	Mock
Mock_2	Mock
Mock_3	Mock
Mock_4	Mock
Mock_5	Mock
Mock_6	Mock
PDCoV_1	PDCoV
PDCoV_2	PDCoV
PDCoV_3	PDCoV
PDCoV_4	PDCoV
PDCoV_5	PDCoV
PDCoV_6	PDCoV
