pathway	ID
map00040:Pentose and glucuronate interconversions	C06118
map00040:Pentose and glucuronate interconversions	C06441
map00040:Pentose and glucuronate interconversions	C14899
map00040:Pentose and glucuronate interconversions	C15930
map00040:Pentose and glucuronate interconversions	C20680
map00040:Pentose and glucuronate interconversions	C22337
map00051:Fructose and mannose metabolism	C00095
map00051:Fructose and mannose metabolism	C00096
map00051:Fructose and mannose metabolism	C00111
map00051:Fructose and mannose metabolism	C00118
map00051:Fructose and mannose metabolism	C00159
map00051:Fructose and mannose metabolism	C00186
map00051:Fructose and mannose metabolism	C00247
map00051:Fructose and mannose metabolism	C00267
map00051:Fructose and mannose metabolism	C00275
map00051:Fructose and mannose metabolism	C00325
map00051:Fructose and mannose metabolism	C00392
map00051:Fructose and mannose metabolism	C00424
map00051:Fructose and mannose metabolism	C00464
map00051:Fructose and mannose metabolism	C00507
map00051:Fructose and mannose metabolism	C00577
map00051:Fructose and mannose metabolism	C00636
map00051:Fructose and mannose metabolism	C00644
map00051:Fructose and mannose metabolism	C00665
map00051:Fructose and mannose metabolism	C00794
map00051:Fructose and mannose metabolism	C00861
map00051:Fructose and mannose metabolism	C00976
map00051:Fructose and mannose metabolism	C01019
map00051:Fructose and mannose metabolism	C01094
map00051:Fructose and mannose metabolism	C01096
map00051:Fructose and mannose metabolism	C01099
map00051:Fructose and mannose metabolism	C01131
map00051:Fructose and mannose metabolism	C01222
map00051:Fructose and mannose metabolism	C01355
map00051:Fructose and mannose metabolism	C01487
map00051:Fructose and mannose metabolism	C01720
map00051:Fructose and mannose metabolism	C01721
map00051:Fructose and mannose metabolism	C01768
map00051:Fructose and mannose metabolism	C01934
map00051:Fructose and mannose metabolism	C02431
map00051:Fructose and mannose metabolism	C02492
map00051:Fructose and mannose metabolism	C02888
map00051:Fructose and mannose metabolism	C02962
map00051:Fructose and mannose metabolism	C02977
map00051:Fructose and mannose metabolism	C02985
map00051:Fructose and mannose metabolism	C02991
map00051:Fructose and mannose metabolism	C03117
map00051:Fructose and mannose metabolism	C03267
map00051:Fructose and mannose metabolism	C03827
map00051:Fructose and mannose metabolism	C03979
map00051:Fructose and mannose metabolism	C05144
map00051:Fructose and mannose metabolism	C05345
map00051:Fructose and mannose metabolism	C05378
map00051:Fructose and mannose metabolism	C05392
map00051:Fructose and mannose metabolism	C06192
map00051:Fructose and mannose metabolism	C11516
map00051:Fructose and mannose metabolism	C11544
map00051:Fructose and mannose metabolism	C18028
map00051:Fructose and mannose metabolism	C18096
map00051:Fructose and mannose metabolism	C20781
map00051:Fructose and mannose metabolism	C20836
map00052:Galactose metabolism	C00029
map00052:Galactose metabolism	C00031
map00052:Galactose metabolism	C00052
map00052:Galactose metabolism	C00085
map00052:Galactose metabolism	C00089
map00052:Galactose metabolism	C00095
map00052:Galactose metabolism	C00103
map00052:Galactose metabolism	C00111
map00052:Galactose metabolism	C00116
map00052:Galactose metabolism	C00118
map00052:Galactose metabolism	C00124
map00052:Galactose metabolism	C00137
map00052:Galactose metabolism	C00159
map00052:Galactose metabolism	C00243
map00052:Galactose metabolism	C00267
map00052:Galactose metabolism	C00446
map00052:Galactose metabolism	C00492
map00052:Galactose metabolism	C00577
map00052:Galactose metabolism	C00668
map00052:Galactose metabolism	C00794
map00052:Galactose metabolism	C00795
map00052:Galactose metabolism	C00880
map00052:Galactose metabolism	C00984
map00052:Galactose metabolism	C01097
map00052:Galactose metabolism	C01113
map00052:Galactose metabolism	C01132
map00052:Galactose metabolism	C01216
map00052:Galactose metabolism	C01235
map00052:Galactose metabolism	C01286
map00052:Galactose metabolism	C01613
map00052:Galactose metabolism	C01697
map00052:Galactose metabolism	C02262
map00052:Galactose metabolism	C02669
map00052:Galactose metabolism	C03383
map00052:Galactose metabolism	C03733
map00052:Galactose metabolism	C03785
map00052:Galactose metabolism	C05396
map00052:Galactose metabolism	C05399
map00052:Galactose metabolism	C05400
map00052:Galactose metabolism	C05401
map00052:Galactose metabolism	C05402
map00052:Galactose metabolism	C05404
map00052:Galactose metabolism	C05796
map00052:Galactose metabolism	C06311
map00052:Galactose metabolism	C06376
map00052:Galactose metabolism	C06377
map00053:Ascorbate and aldarate metabolism	C00022
map00053:Ascorbate and aldarate metabolism	C00026
map00053:Ascorbate and aldarate metabolism	C00029
map00053:Ascorbate and aldarate metabolism	C00072
map00053:Ascorbate and aldarate metabolism	C00096
map00053:Ascorbate and aldarate metabolism	C00137
map00053:Ascorbate and aldarate metabolism	C00167
map00053:Ascorbate and aldarate metabolism	C00191
map00053:Ascorbate and aldarate metabolism	C00216
map00053:Ascorbate and aldarate metabolism	C00231
map00053:Ascorbate and aldarate metabolism	C00259
map00053:Ascorbate and aldarate metabolism	C00333
map00053:Ascorbate and aldarate metabolism	C00433
map00053:Ascorbate and aldarate metabolism	C00545
map00053:Ascorbate and aldarate metabolism	C00558
map00053:Ascorbate and aldarate metabolism	C00617
map00053:Ascorbate and aldarate metabolism	C00618
map00053:Ascorbate and aldarate metabolism	C00652
map00053:Ascorbate and aldarate metabolism	C00679
map00053:Ascorbate and aldarate metabolism	C00684
map00053:Ascorbate and aldarate metabolism	C00800
map00053:Ascorbate and aldarate metabolism	C00818
map00053:Ascorbate and aldarate metabolism	C00878
map00053:Ascorbate and aldarate metabolism	C00879
map00053:Ascorbate and aldarate metabolism	C01040
map00053:Ascorbate and aldarate metabolism	C01041
map00053:Ascorbate and aldarate metabolism	C01101
map00053:Ascorbate and aldarate metabolism	C01114
map00053:Ascorbate and aldarate metabolism	C01115
map00053:Ascorbate and aldarate metabolism	C01146
map00053:Ascorbate and aldarate metabolism	C01620
map00053:Ascorbate and aldarate metabolism	C01825
map00053:Ascorbate and aldarate metabolism	C02280
map00053:Ascorbate and aldarate metabolism	C02670
map00053:Ascorbate and aldarate metabolism	C03033
map00053:Ascorbate and aldarate metabolism	C03064
map00053:Ascorbate and aldarate metabolism	C03289
map00053:Ascorbate and aldarate metabolism	C03291
map00053:Ascorbate and aldarate metabolism	C03826
map00053:Ascorbate and aldarate metabolism	C03921
map00053:Ascorbate and aldarate metabolism	C04037
map00053:Ascorbate and aldarate metabolism	C04575
map00053:Ascorbate and aldarate metabolism	C05385
map00053:Ascorbate and aldarate metabolism	C05411
map00053:Ascorbate and aldarate metabolism	C05412
map00053:Ascorbate and aldarate metabolism	C05422
map00053:Ascorbate and aldarate metabolism	C06316
map00053:Ascorbate and aldarate metabolism	C14899
map00053:Ascorbate and aldarate metabolism	C15923
map00053:Ascorbate and aldarate metabolism	C15924
